Filename,TruckRoute,TruckTime,DroneTimes,MaxTotalTime
20140813T111836,0 2 9 4 8 6 5 10 3 0,75.3911,45.6089,75.3911
20140813T111838,0 2 7 6 3 5 8 10 4 0,71.1146,48.4997,71.1146
20140813T111841,0 6 10 2 9 8 5 0,78.2305,64.9757,78.2305
20140813T111843,0 2 10 3 6 9 0,92.6969,87.6426,92.6969
20140813T111845,0 2 9 5 4 8 7 3 0,64.705,71.7172,71.7172
20140813T111847,0 6 4 1 2 8 9 7 0,63.3876,61.7549,63.3876
20140813T111849,0 9 8 2 3 6 5 0,67.6733,53.2147,67.6733
20140813T111851,0 6 1 3 7 9 5 10 0,63.5027,50.5674,63.5027
20140813T111853,0 4 6 8 5 9 7 2 3 0,119.952,34.7947,119.952
20140813T111855,0 3 7 6 1 8 2 0,123.517,69.2289,123.517
20140813T111857,0 2 5 6 9 7 3 0,90.1893,57.6804,90.1893
20140813T111859,0 5 2 7 6 3 8 4 0,125.914,38.8009,125.914
20140813T111902,0 2 9 10 6 3 8 0,125.991,68.2785,125.991
20140813T111904,0 1 4 6 9 10 0,123.269,105.834,123.269
20140813T111906,0 10 2 3 7 4 0,93.1399,80.5355,93.1399
20140813T111908,0 2 3 5 9 7 10 8 0,92.4981,58.7775,92.4981
20140813T111910,0 1 10 4 5 9 6 3 0,112.425,54.468,112.425
20140813T111912,0 1 10 5 9 6 7 0,127.734,62.7974,127.734
20140813T111914,0 9 2 5 3 7 4 10 0,83.9939,73.1882,83.9939
20140813T111916,0 4 2 10 7 9 3 8 0,92.753,70.2627,92.753
20140813T111918,0 2 9 10 8 3 5 4 0,94.8941,81.4669,94.8941
20140813T111920,0 7 2 3 4 6 9 10 0,84.3717,80.7109,84.3717
20140813T111922,0 7 2 4 9 8 5 0,77.8307,78.2033,78.2033
20140813T111925,0 2 3 5 8 10 6 9 0,110.538,78.8566,110.538
20140813T111927,0 2 9 6 3 8 10 0,95.8414,82.7581,95.8414
20140813T111929,0 5 9 4 10 2 3 8 7 0,84.2753,54.2837,84.2753
20140813T111931,0 8 6 7 2 5 4 0,90.1639,85.092,90.1639
20140813T111933,0 4 5 2 10 6 9 8 3 0,56.202,55.795,56.202
20140813T111935,0 2 3 5 8 7 10 9 0,51.4671,50.6122,51.4671
20140813T111937,0 9 7 2 3 6 10 8 0,61.1275,52.0786,61.1275
20140813T111939,0 6 2 7 5 8 10 0,59.2101,53.4835,59.2101
20140813T111941,0 2 8 10 3 6 7 0,56.4238,55.7169,56.4238
20140813T111943,0 8 5 7 10 9 2 4 0,61.7673,54.1898,61.7673
20140813T111945,0 2 7 3 6 8 4 0,48.7401,50.9792,50.9792
20140813T111948,0 9 5 7 2 10 4 0,73.7055,63.8584,73.7055
20140813T111950,0 10 4 7 2 3 0,70.4426,69.6021,70.4426
20140813T111952,0 2 4 5 9 6 0,69.8694,54.726,69.8694
20140813T111954,0 7 8 2 9 3 10 0,56.7837,39.24,56.7837
20140813T111956,0 2 4 5 6 8 9 3 0,86.3378,74.2724,86.3378
20140813T111959,0 5 7 2 8 3 10 0,75.1786,72.73,75.1786
20140813T112001,0 2 5 3 10 9 7 4 0,89.0134,66.0801,89.0134
20140813T112003,0 2 4 10 3 8 7 0,78.1897,64.3642,78.1897
20140813T112005,0 9 1 10 4 6 7 3 0,61.7995,54.4651,61.7995
20140813T112007,0 6 9 1 4 8 3 0,116.424,74.0299,116.424
20140813T112010,0 2 7 4 8 3 0,97.0434,93.8491,97.0434
20140813T112012,0 10 1 7 8 9 5 4 0,64.1614,50.3824,64.1614
20140813T112014,0 1 4 8 9 10 7 0,68.4416,54.9716,68.4416
20140813T112016,0 4 9 5 10 2 3 8 7 0,48.2326,42.6065,48.2326
,,,,119.0345483
